toko,nama_barang,ulasan,rating
ismile-indonesia,Apple Watch Series SE Gen 2 2023 40mm 44mm GPS Alumunium Case,bagus aman tentram,5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,diterima dengan baik. packing ok  konfirmasinya juga oke  Terima kasih. foto realnya lupa. yg ada aja deh. tp overall oke bgt,5
ismile-indonesia,Apple iPad Pro M4 11 Inci 256GB 512GB,bonusnya belakangan. Thanks ya. mohon maaf agak emosi 🙏🏼,4
ismile-indonesia,,Setelah diminta terus bonus microsoft nya akhirnya dikasih. terima kasih ya. mohon maap agak emosi. 🙏🏼,4
ismile-indonesia,Ugreen Power Adapter Charger Type C GAN Nexode 15324 Garansi Resmi,"Barang ori, berfungsi dengan baik, mantap",5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Mantap, barang sesuai dengan pesanan, pengirimaan cepat, kode sesuai dengan pesanan, best pokoknya",5
ismile-indonesia,,Ajiiiib amanah lope lope lope pokoknya recomended,5
ismile-indonesia,,"Unit ke 3.
Selalu Sesuai dengan Pesanan.
Gak pake kecot2an.
Sat Set terus 👌🏻
RECOMMENDED.",5
ismile-indonesia,,"Unit ke 3.
Selalu Sesuai dengan Pesanan.
Gak pake kecot2an.
Sat Set terus 👌🏻
RECOMMENDED.",5
ismile-indonesia,[ Live Exclusive ] Apple iPhone 16 Pro Max 256GB 512GB 1TB Garansi Resmi,"Toko amanah, good deal tapi sayang struk fisik pembelian/pembayaran gk dikirim",5
ismile-indonesia,Apple iPhone 13 Garansi Resmi - 128GB 256GB 512GB,"Barang Garansi resmi IBOX , BLI BLI Di cek IMEI AKTIF, aktivasi garansi sesuai waktu menyalakan hp , terbaca di sistem apple resmi , barang 100% original , seller amanah...",5
ismile-indonesia,,Originaal,5
ismile-indonesia,Apple iPhone 16 Pro Max Garansi Resmi - 256GB 512GB 1TB,admin tidak bisa diajak negosiasi,1
ismile-indonesia,[ iSmile X Sefrico ] Apple iPhone 13 128GB Garansi Resmi,good,5
ismile-indonesia,,"seller komunikatif dan fast respon, pengiriman normal tanpa terlambat.

packing super aman dan bubble wrap cukup tebal, barang utuh ga ada kekurangan/kerusakan, masih seg...",5
ismile-indonesia,Apple iPhone 15 Garansi Resmi - 128GB 256GB 512GB,"Alhamdulillah barang sampai dengan aman, sesuai permintaan. seller amanah semoga berkah terus sukses selalu. 
Buat kado ulang tahun istri 🎁 , alhamdulillah istri kelihat...",5
ismile-indonesia,[ iSmile X Sefrico ] Apple iPhone 15 128GB Garansi Resmi,"produk sesuai pesanan ,garansi resmi",5
ismile-indonesia,[ iSmile X Sefrico ] Apple iPhone 13 128GB Garansi Resmi,"Garansi resmi tam,Kereeen pengiriman cepat packing bagus",5
ismile-indonesia,,Tebal sekali wrapping nya,5
